TeamId,TeamName,SubmissionDate,Score
32593,sebastialonso,"2013-01-17 16:28:53",0.00000
32593,sebastialonso,"2013-01-17 16:40:53",0.76555
34975,incendiary,"2013-02-18 21:22:10",0.76555
34975,incendiary,"2013-02-19 17:07:57",0.77033
34975,incendiary,"2013-02-19 17:10:01",0.79425
39482,domoldo,"2013-04-11 18:53:59",0.76555
41601,Madrilia,"2013-04-27 13:54:27",0.75119
41601,Madrilia,"2013-04-27 21:41:50",0.76076
43415,brooks,"2013-05-15 05:39:29",0.76555
43415,brooks,"2013-05-15 20:39:31",0.77990
43415,brooks,"2013-05-16 02:39:45",0.78947
43836,"Stephen Keller","2013-05-20 03:59:34",0.76076
43836,"Stephen Keller","2013-05-20 05:15:49",0.78468
44016,RD1890,"2013-05-21 20:23:43",0.76555
44016,RD1890,"2013-05-25 11:16:34",0.77511
55360,"Yosuke Katada","2013-08-16 00:40:47",0.76076
55360,"Yosuke Katada","2013-08-16 01:01:13",0.79425
55360,"Yosuke Katada","2013-08-18 07:08:48",0.81339
56288,jgdm,"2013-08-27 10:49:24",0.66028
56288,jgdm,"2013-09-02 12:39:36",0.76076
56288,jgdm,"2013-09-02 12:54:25",0.77033
56288,jgdm,"2013-09-02 13:19:36",0.77990
65819,"Alexey Zagalsky","2013-11-19 07:07:57",0.76555
65819,"Alexey Zagalsky","2013-11-19 20:24:38",0.77990
72476,Wrdeman,"2014-01-21 17:25:33",0.42105
72476,Wrdeman,"2014-01-21 18:11:30",0.62679
72858,prescient,"2014-01-25 04:03:40",0.73684
72858,prescient,"2014-01-25 04:09:54",0.78947
72858,prescient,"2014-01-27 02:12:55",0.79904
72858,prescient,"2014-01-28 01:20:48",0.80861
74367,"Veerasak Kritsanapraphan","2014-01-31 04:26:37",0.79425
83801,littleO,"2014-03-28 07:40:00",0.76555
85620,largauer,"2014-04-03 14:34:48",0.76555
85620,largauer,"2014-04-03 15:10:10",0.77990
87175,"Helge Krüger","2014-04-15 17:54:43",0.76555
87175,"Helge Krüger","2014-04-15 17:57:34",0.77033
87175,"Helge Krüger","2014-04-15 18:30:19",0.77511
96014,Wolf,"2014-05-22 13:01:15",0.76555
96014,Wolf,"2014-05-22 13:29:33",0.77990
96736,"Mariusz Kubkowski","2014-05-26 15:43:41",0.77033
96736,"Mariusz Kubkowski","2014-05-26 15:53:01",0.77990
96736,"Mariusz Kubkowski","2014-05-26 16:00:00",0.78468
45026,"Paul Murphy","2014-08-03 21:16:09",0.76555
45026,"Paul Murphy","2014-08-03 21:17:23",0.77990
74851,Malte,"2014-08-11 13:33:31",0.77990
111639,"Paul Jones","2014-08-11 14:05:12",0.62679
111639,"Paul Jones","2014-08-11 14:14:46",0.76555
111639,"Paul Jones","2014-08-11 14:45:21",0.78468
111639,"Paul Jones","2014-08-11 15:31:23",0.79904
45026,"Paul Murphy","2014-08-12 21:13:22",0.79425
45026,"Paul Murphy","2014-08-13 22:26:50",0.79904
74851,Malte,"2014-08-15 12:29:29",0.78468
112659,mybiyani,"2014-08-17 19:46:34",0.76555
112659,mybiyani,"2014-08-17 19:48:02",0.77990
112659,mybiyani,"2014-08-21 02:53:34",0.79904
113867,kathakali,"2014-08-22 11:20:01",0.76076
113867,kathakali,"2014-08-25 04:56:56",0.76555
113867,kathakali,"2014-08-25 08:31:36",0.79425
115661,RosDolor,"2014-09-04 12:07:00",0.72727
115661,RosDolor,"2014-09-05 15:16:32",0.75119
115661,RosDolor,"2014-09-05 15:44:20",0.77511
115661,RosDolor,"2014-09-08 15:35:34",0.78947
115661,RosDolor,"2014-09-11 07:43:47",0.79904
115661,RosDolor,"2014-09-11 09:15:43",0.80382
116861,"min-hung Chen","2014-09-12 07:43:56",0.76555
116861,"min-hung Chen","2014-09-12 08:47:45",0.77033
119011,"Paul B M","2014-09-27 19:34:02",0.76555
119011,"Paul B M","2014-09-30 21:07:51",0.77990
121784,"Robert Stewart","2014-10-17 06:57:54",0.76555
121784,"Robert Stewart","2014-10-18 06:51:59",0.77990
125491,UPV_EDM_18,"2014-11-11 01:06:38",0.81339
125631,"edoardo conti","2014-11-12 02:01:56",0.76555
74367,"Veerasak Kritsanapraphan","2014-11-13 10:42:05",0.79904
125631,"edoardo conti","2014-11-17 05:03:38",0.77033
127721,"Riley Dallas","2014-11-23 19:43:08",0.62679
127721,"Riley Dallas","2014-11-23 20:02:32",0.76555
127721,"Riley Dallas","2014-11-23 20:35:49",0.78468
127721,"Riley Dallas","2014-11-24 05:02:08",0.80861
113867,kathakali,"2014-11-26 08:49:04",0.79904
128610,"Diane Elizabeth Halliwell","2014-11-27 14:00:28",0.62679
131292,"Juan Eduardo Smith","2014-12-12 01:27:45",0.52631
131292,"Juan Eduardo Smith","2014-12-13 17:41:30",0.56937
131292,"Juan Eduardo Smith","2014-12-13 17:56:58",0.76555
131292,"Juan Eduardo Smith","2014-12-15 13:55:30",0.77990
131292,"Juan Eduardo Smith","2014-12-15 14:58:18",0.78468
131292,"Juan Eduardo Smith","2014-12-16 04:06:45",0.79425
131292,"Juan Eduardo Smith","2014-12-16 15:55:21",0.80861
131292,"Juan Eduardo Smith","2014-12-23 04:19:44",0.81339
143993,Mahin,"2015-02-04 23:00:29",0.77511
143993,Mahin,"2015-02-09 21:37:05",0.78947
143993,Mahin,"2015-02-10 04:09:19",0.79425
96014,Wolf,"2015-02-24 15:36:15",0.78468
96014,Wolf,"2015-02-24 16:50:10",0.79425
152929,dbarreda,"2015-03-06 19:58:55",0.62679
152929,dbarreda,"2015-03-06 20:08:43",0.76555
152929,dbarreda,"2015-03-06 20:34:13",0.77990
152929,dbarreda,"2015-03-06 21:02:30",0.78468
152929,dbarreda,"2015-03-06 22:47:33",0.79425
152929,dbarreda,"2015-03-06 23:39:12",0.81339
163870,DataJedai,"2015-04-06 22:09:54",0.62679
163870,DataJedai,"2015-04-07 21:28:22",0.76555
163870,DataJedai,"2015-04-07 21:51:37",0.77990
163870,DataJedai,"2015-04-07 22:13:59",0.78468
163870,DataJedai,"2015-04-09 22:19:22",0.79425
163870,DataJedai,"2015-04-09 23:10:55",0.79904
169701,"George Mohler","2015-04-18 17:06:44",0.77990
185946,Bing,"2015-05-29 09:46:16",0.78468
185946,Bing,"2015-05-29 10:16:39",0.80382
191441,Basma,"2015-06-19 22:34:41",0.76555
191441,Basma,"2015-06-19 23:16:06",0.77990
189121,"Jerome Q Sullivan","2015-06-24 17:45:20",0.66028
189121,"Jerome Q Sullivan","2015-06-29 20:02:29",0.70334
189121,"Jerome Q Sullivan","2015-07-01 16:06:34",0.73205
189121,"Jerome Q Sullivan","2015-07-04 15:46:57",0.75598
196262,"FSBDS Johnny","2015-07-05 18:58:32",0.72248
189121,"Jerome Q Sullivan","2015-07-06 21:40:52",0.76076
197975,tdod,"2015-07-10 17:49:45",0.76555
197975,tdod,"2015-07-11 22:18:31",0.78468
197975,tdod,"2015-07-11 22:43:08",0.80382
196262,"FSBDS Johnny","2015-07-12 10:47:52",0.76555
196262,"FSBDS Johnny","2015-07-21 12:45:05",0.79425
201854,"Miha Drole","2015-07-21 17:39:00",0.76555
201922,RS_science,"2015-07-21 20:10:13",0.77033
201854,"Miha Drole","2015-07-23 17:10:51",0.77990
203153,a.karwan,"2015-07-25 16:29:41",0.74162
203153,a.karwan,"2015-07-25 21:19:59",0.77033
203153,a.karwan,"2015-07-26 00:13:24",0.78468
196262,"FSBDS Johnny","2015-07-28 15:24:35",0.80382
203153,a.karwan,"2015-07-29 12:27:18",0.78947
204677,BharathJagadish,"2015-07-30 06:32:49",0.77033
203153,a.karwan,"2015-07-30 10:09:02",0.79425
203153,a.karwan,"2015-07-30 13:18:13",0.80861
203153,a.karwan,"2015-07-30 18:20:32",0.81339
204677,BharathJagadish,"2015-08-01 19:36:46",0.78468
204677,BharathJagadish,"2015-08-01 20:36:17",0.80382
205529,Varshitha,"2015-08-02 13:05:13",0.62679
205529,Varshitha,"2015-08-02 13:25:55",0.76555
203153,a.karwan,"2015-08-04 09:26:32",0.81818
4149798,"Shaun Benjamin","2015-09-24 03:55:49",0.78468
222570,NealHayden,"2015-10-04 13:42:20",0.76555
222570,NealHayden,"2015-10-04 19:09:52",0.78468
222570,NealHayden,"2015-10-06 01:40:41",0.80382
234847,Scirpus,"2015-11-04 17:20:55",0.00000
234847,Scirpus,"2015-11-04 17:25:11",0.89473
248081,p0bs,"2015-12-03 20:13:25",0.77033
248081,p0bs,"2015-12-03 21:29:15",0.78947
257390,JorgeArellano,"2015-12-24 01:12:02",0.62679
257390,JorgeArellano,"2015-12-24 01:41:11",0.76555
257390,JorgeArellano,"2015-12-24 02:07:14",0.77990
257390,JorgeArellano,"2015-12-24 02:57:50",0.78468
257390,JorgeArellano,"2015-12-24 04:24:43",0.79904
203101,theRabbits,"2016-01-01 21:41:57",0.78947
260924,"Pierre 5","2016-01-05 20:35:02",0.76076
203101,theRabbits,"2016-01-05 22:45:23",0.79425
203101,theRabbits,"2016-01-06 00:39:50",0.80861
260924,"Pierre 5","2016-01-08 19:15:20",0.77511
262111,"Vitor Alcântara Batista","2016-01-09 17:12:43",0.69856
263295,"Ramiro Pereira de Magalhães","2016-01-13 15:33:40",0.69856
262111,"Vitor Alcântara Batista","2016-01-18 11:19:46",0.71770
262111,"Vitor Alcântara Batista","2016-01-18 11:40:24",0.75598
262111,"Vitor Alcântara Batista","2016-01-21 11:18:50",0.76555
262111,"Vitor Alcântara Batista","2016-01-21 12:21:50",0.90430
262111,"Vitor Alcântara Batista","2016-01-21 12:30:40",0.93779
267630,adeel,"2016-01-26 12:30:37",0.78468
267630,adeel,"2016-01-26 13:09:36",0.80382
128610,"Diane Elizabeth Halliwell","2016-01-27 16:31:29",0.78468
280123,Ravichand,"2016-02-20 20:31:19",0.76555
280123,Ravichand,"2016-02-20 21:45:15",0.78468
280123,Ravichand,"2016-02-21 03:21:06",0.80382
254931,AmolKankane,"2016-02-29 16:00:11",0.74162
284207,"Arun Balakrishnan","2016-03-01 07:27:52",0.75598
284207,"Arun Balakrishnan","2016-03-01 09:03:47",0.76076
284207,"Arun Balakrishnan","2016-03-01 09:57:38",0.77033
286720,"TylerHungerpiller 2","2016-03-05 06:35:50",0.76555
287636,jleeds,"2016-03-06 23:50:59",0.78468
286720,"TylerHungerpiller 2","2016-03-08 20:26:00",0.77033
289968,tambal,"2016-03-11 01:43:10",0.59808
289968,tambal,"2016-03-11 08:42:34",0.63636
152929,dbarreda,"2016-03-17 19:42:35",0.81818
300533,"Richard F","2016-04-01 16:27:26",0.71770
300533,"Richard F","2016-04-01 19:09:35",0.77990
113867,kathakali,"2016-04-05 12:48:18",0.81339
280123,Ravichand,"2016-04-09 00:15:38",0.81339
306282,"Ashok Kannan","2016-04-12 05:40:16",0.75119
96014,Wolf,"2016-05-03 19:38:55",0.79904
96014,Wolf,"2016-05-03 20:14:19",0.80861
326279,"Paulo Pinto","2016-05-18 14:51:51",0.77511
326281,DenilsonSantos,"2016-05-18 14:53:35",0.63636
327926,EvanJones,"2016-05-22 18:51:54",0.76076
327926,EvanJones,"2016-05-22 22:51:40",0.76555
326279,"Paulo Pinto","2016-05-23 19:39:16",0.93301
323055,KienTran,"2016-05-25 03:12:12",0.77511
331229,"Rohit Rawat","2016-05-28 00:54:15",0.56937
331229,"Rohit Rawat","2016-05-29 12:09:20",0.75598
331229,"Rohit Rawat","2016-06-05 23:03:29",0.76076
336569,eftalia,"2016-06-08 06:11:48",0.77990
336569,eftalia,"2016-06-08 07:19:04",0.79425
336569,eftalia,"2016-06-08 07:28:33",0.80861
344005,"Naoki Narimatsu","2016-06-25 06:51:03",0.76555
344289,JakeWarner,"2016-06-26 23:01:07",0.72727
344289,JakeWarner,"2016-06-26 23:18:36",0.75598
344289,JakeWarner,"2016-06-26 23:22:30",0.76555
344289,JakeWarner,"2016-06-28 06:06:14",0.77990
344005,"Naoki Narimatsu","2016-07-10 14:15:50",0.77033
348835,AishvaryaSrivastava,"2016-07-12 10:05:57",0.71291
351978,oldvw,"2016-07-21 20:26:42",0.62679
351978,oldvw,"2016-07-22 18:25:44",0.76555
352440,AnandRamanathan,"2016-07-23 14:54:27",0.76555
352440,AnandRamanathan,"2016-07-23 15:27:12",0.77990
352440,AnandRamanathan,"2016-07-23 17:40:52",0.79425
351978,oldvw,"2016-07-25 23:03:36",0.77990
355708,"Sonali Chawla","2016-07-31 17:13:01",0.76555
355708,"Sonali Chawla","2016-07-31 18:52:36",0.79425
359683,"Dale Ng","2016-08-12 05:38:51",0.70334
360802,"Janis Rumnieks","2016-08-20 01:34:04",0.70334
